true_class,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.988,0.001,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.001
automobile,0.0,0.987,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.012
bird,0.002,0.0,0.989,0.003,0.001,0.002,0.001,0.001,0.001,0.0
cat,0.0,0.001,0.0,0.963,0.003,0.024,0.005,0.002,0.002,0.0
deer,0.0,0.0,0.003,0.002,0.991,0.001,0.0,0.003,0.0,0.0
dog,0.0,0.0,0.001,0.021,0.004,0.971,0.0,0.002,0.0,0.001
frog,0.001,0.0,0.002,0.002,0.0,0.001,0.994,0.0,0.0,0.0
horse,0.001,0.0,0.0,0.001,0.005,0.003,0.001,0.989,0.0,0.0
ship,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.0
truck,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.984
