test_index,image_id,true_class,predicted_class,confidence,top1_correct,top5_correct,error_type,saved_image
150,cifar10_test_00150,ship,airplane,0.9998997449874878,False,True,false_negative_for_ship;false_positive_for_airplane,W:\Awais - Thesis\MIDL-Lab\base-KD\reports\cifar10_finetuned_teacher_audit\finetuned_teacher\failure_images\00150_true-ship_pred-airplane.png
275,cifar10_test_00275,dog,cat,0.9999810457229614,False,True,false_negative_for_dog;false_positive_for_cat,W:\Awais - Thesis\MIDL-Lab\base-KD\reports\cifar10_finetuned_teacher_audit\finetuned_teacher\failure_images\00275_true-dog_pred-cat.png
355,cifar10_test_00355,horse,deer,0.9706698060035706,False,True,false_negative_for_horse;false_positive_for_deer,W:\Awais - Thesis\MIDL-Lab\base-KD\reports\cifar10_finetuned_teacher_audit\finetuned_teacher\failure_images\00355_true-horse_pred-deer.png
378,cifar10_test_00378,airplane,ship,0.9999992847442627,False,True,false_negative_for_airplane;false_positive_for_ship,W:\Awais - Thesis\MIDL-Lab\base-KD\reports\cifar10_finetuned_teacher_audit\finetuned_teacher\failure_images\00378_true-airplane_pred-ship.png
384,cifar10_test_00384,bird,dog,0.9999018907546997,False,True,false_negative_for_bird;false_positive_for_dog,W:\Awais - Thesis\MIDL-Lab\base-KD\reports\cifar10_finetuned_teacher_audit\finetuned_teacher\failure_images\00384_true-bird_pred-dog.png
426,cifar10_test_00426,cat,dog,0.9999028444290161,False,True,false_negative_for_cat;false_positive_for_dog,W:\Awais - Thesis\MIDL-Lab\base-KD\reports\cifar10_finetuned_teacher_audit\finetuned_teacher\failure_images\00426_true-cat_pred-dog.png
551,cifar10_test_00551,dog,cat,0.9996373653411865,False,True,false_negative_for_dog;false_positive_for_cat,W:\Awais - Thesis\MIDL-Lab\base-KD\reports\cifar10_finetuned_teacher_audit\finetuned_teacher\failure_images\00551_true-dog_pred-cat.png
810,cifar10_test_00810,dog,cat,0.9999951124191284,False,True,false_negative_for_dog;false_positive_for_cat,W:\Awais - Thesis\MIDL-Lab\base-KD\reports\cifar10_finetuned_teacher_audit\finetuned_teacher\failure_images\00810_true-dog_pred-cat.png
860,cifar10_test_00860,deer,horse,0.6373290419578552,False,True,false_negative_for_deer;false_positive_for_horse,W:\Awais - Thesis\MIDL-Lab\base-KD\reports\cifar10_finetuned_teacher_audit\finetuned_teacher\failure_images\00860_true-deer_pred-horse.png
1094,cifar10_test_01094,frog,bird,0.6806780695915222,False,True,false_negative_for_frog;false_positive_for_bird,W:\Awais - Thesis\MIDL-Lab\base-KD\reports\cifar10_finetuned_teacher_audit\finetuned_teacher\failure_images\01094_true-frog_pred-bird.png
1227,cifar10_test_01227,cat,dog,0.9983385801315308,False,True,false_negative_for_cat;false_positive_for_dog,W:\Awais - Thesis\MIDL-Lab\base-KD\reports\cifar10_finetuned_teacher_audit\finetuned_teacher\failure_images\01227_true-cat_pred-dog.png
1394,cifar10_test_01394,frog,dog,0.9992843270301819,False,True,false_negative_for_frog;false_positive_for_dog,W:\Awais - Thesis\MIDL-Lab\base-KD\reports\cifar10_finetuned_teacher_audit\finetuned_teacher\failure_images\01394_true-frog_pred-dog.png
1440,cifar10_test_01440,airplane,bird,0.9999524354934692,False,True,false_negative_for_airplane;false_positive_for_bird,W:\Awais - Thesis\MIDL-Lab\base-KD\reports\cifar10_finetuned_teacher_audit\finetuned_teacher\failure_images\01440_true-airplane_pred-bird.png
1492,cifar10_test_01492,truck,automobile,0.8973324298858643,False,True,false_negative_for_truck;false_positive_for_automobile,W:\Awais - Thesis\MIDL-Lab\base-KD\reports\cifar10_finetuned_teacher_audit\finetuned_teacher\failure_images\01492_true-truck_pred-automobile.png
1506,cifar10_test_01506,dog,horse,0.9999984502792358,False,True,false_negative_for_dog;false_positive_for_horse,W:\Awais - Thesis\MIDL-Lab\base-KD\reports\cifar10_finetuned_teacher_audit\finetuned_teacher\failure_images\01506_true-dog_pred-horse.png
