class,precision,recall_sensitivity,f1_score,support,true_positive,false_positive,false_negative,true_negative
airplane,0.9949647532729103,0.988,0.9914701455092825,1000,988,5,12,8995
automobile,0.9850299401197605,0.987,0.986013986013986,1000,987,15,13,8985
bird,0.989,0.989,0.989,1000,989,11,11,8989
cat,0.9707661290322581,0.963,0.9668674698795181,1000,963,29,37,8971
deer,0.9870517928286853,0.991,0.9890219560878244,1000,991,13,9,8987
dog,0.969061876247505,0.971,0.97002997002997,1000,971,31,29,8969
frog,0.993006993006993,0.994,0.993503248375812,1000,994,7,6,8993
horse,0.9919759277833501,0.989,0.9904857285928893,1000,989,8,11,8992
ship,0.9881305637982196,0.999,0.9935355544505221,1000,999,12,1,8988
truck,0.9859719438877755,0.984,0.984984984984985,1000,984,14,16,8986
