true_class,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.918,0.004,0.02,0.01,0.004,0.0,0.002,0.002,0.028,0.012
automobile,0.005,0.959,0.001,0.004,0.001,0.001,0.0,0.001,0.006,0.022
bird,0.019,0.0,0.887,0.031,0.023,0.018,0.016,0.004,0.001,0.001
cat,0.012,0.0,0.025,0.806,0.024,0.093,0.025,0.009,0.004,0.002
deer,0.002,0.001,0.025,0.022,0.899,0.012,0.015,0.021,0.002,0.001
dog,0.004,0.0,0.018,0.082,0.015,0.858,0.006,0.014,0.0,0.003
frog,0.006,0.0,0.016,0.016,0.007,0.006,0.947,0.001,0.001,0.0
horse,0.002,0.001,0.009,0.016,0.011,0.018,0.002,0.937,0.002,0.002
ship,0.023,0.009,0.003,0.001,0.001,0.0,0.001,0.0,0.958,0.004
truck,0.012,0.04,0.003,0.005,0.001,0.0,0.001,0.003,0.009,0.926
