class,precision,recall_sensitivity,f1_score,support,true_positive,false_positive,false_negative,true_negative
airplane,0.9152542372881356,0.918,0.9166250624063904,1000,918,85,82,8915
automobile,0.9457593688362919,0.959,0.9523336643495531,1000,959,55,41,8945
bird,0.8808341608738828,0.887,0.8839063278525162,1000,887,120,113,8880
cat,0.8116817724068479,0.806,0.8088309081786252,1000,806,187,194,8813
deer,0.9117647058823529,0.899,0.905337361530715,1000,899,87,101,8913
dog,0.852882703777336,0.858,0.8554336989032901,1000,858,148,142,8852
frog,0.9330049261083744,0.947,0.9399503722084367,1000,947,68,53,8932
horse,0.9445564516129032,0.937,0.9407630522088354,1000,937,55,63,8945
ship,0.9475766567754699,0.958,0.9527598209845848,1000,958,53,42,8947
truck,0.9516957862281603,0.926,0.9386720729853015,1000,926,47,74,8953
