true_class,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.888,0.011,0.013,0.01,0.009,0.004,0.007,0.006,0.029,0.023
automobile,0.011,0.934,0.0,0.002,0.0,0.001,0.003,0.001,0.006,0.042
bird,0.033,0.001,0.836,0.027,0.032,0.023,0.03,0.015,0.0,0.003
cat,0.013,0.003,0.021,0.743,0.033,0.117,0.038,0.015,0.008,0.009
deer,0.005,0.001,0.03,0.02,0.853,0.01,0.033,0.043,0.004,0.001
dog,0.004,0.003,0.008,0.09,0.019,0.829,0.009,0.031,0.003,0.004
frog,0.005,0.003,0.01,0.023,0.009,0.009,0.936,0.003,0.001,0.001
horse,0.008,0.0,0.014,0.01,0.019,0.019,0.003,0.919,0.005,0.003
ship,0.026,0.016,0.004,0.004,0.001,0.001,0.004,0.0,0.928,0.016
truck,0.013,0.037,0.004,0.003,0.001,0.001,0.002,0.004,0.01,0.925
