class,precision,recall_sensitivity,f1_score,support,true_positive,false_positive,false_negative,true_negative
airplane,0.882703777335984,0.888,0.8853439680957128,1000,888,118,112,8882
automobile,0.9256689791873142,0.934,0.9298158287705326,1000,934,75,66,8925
bird,0.8893617021276595,0.836,0.8618556701030928,1000,836,104,164,8896
cat,0.7972103004291845,0.743,0.7691511387163561,1000,743,189,257,8811
deer,0.8739754098360656,0.853,0.8633603238866396,1000,853,123,147,8877
dog,0.8175542406311637,0.829,0.8232373386295928,1000,829,185,171,8815
frog,0.8788732394366198,0.936,0.9065375302663439,1000,936,129,64,8871
horse,0.8862102217936355,0.919,0.9023073146784487,1000,919,118,81,8882
ship,0.9336016096579477,0.928,0.9307923771313942,1000,928,66,72,8934
truck,0.9006815968841285,0.925,0.9126788357178096,1000,925,102,75,8898
