true_class,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.915,0.006,0.015,0.011,0.003,0.0,0.004,0.011,0.02,0.015
automobile,0.008,0.944,0.003,0.004,0.0,0.001,0.001,0.002,0.004,0.033
bird,0.02,0.002,0.861,0.03,0.028,0.02,0.022,0.012,0.001,0.004
cat,0.01,0.004,0.029,0.761,0.031,0.099,0.029,0.02,0.008,0.009
deer,0.001,0.0,0.029,0.03,0.877,0.013,0.019,0.026,0.004,0.001
dog,0.006,0.003,0.013,0.096,0.023,0.824,0.013,0.018,0.002,0.002
frog,0.005,0.001,0.022,0.014,0.016,0.004,0.934,0.002,0.0,0.002
horse,0.007,0.001,0.008,0.018,0.018,0.022,0.005,0.917,0.0,0.004
ship,0.027,0.01,0.003,0.005,0.001,0.0,0.002,0.002,0.934,0.016
truck,0.01,0.034,0.003,0.005,0.002,0.001,0.005,0.003,0.011,0.926
