test_index,image_id,source_path,source_record_index,true_class,predicted_class,confidence,top1_correct,top5_correct,saved_image,error_type
2,cifar10_test_00002,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,2,ship,automobile,0.5066149234771729,False,True,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00002_true-ship_pred-automobile.png,false_negative_for_ship;false_positive_for_automobile
9,cifar10_test_00009,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,9,automobile,truck,0.932224690914154,False,True,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00009_true-automobile_pred-truck.png,false_negative_for_automobile;false_positive_for_truck
33,cifar10_test_00033,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,33,dog,cat,0.5032067894935608,False,True,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00033_true-dog_pred-cat.png,false_negative_for_dog;false_positive_for_cat
35,cifar10_test_00035,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,35,bird,automobile,0.6133114695549011,False,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00035_true-bird_pred-automobile.png,false_negative_for_bird;false_positive_for_automobile
37,cifar10_test_00037,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,37,automobile,truck,0.5578537583351135,False,True,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00037_true-automobile_pred-truck.png,false_negative_for_automobile;false_positive_for_truck
52,cifar10_test_00052,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,52,airplane,horse,0.9483225345611572,False,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00052_true-airplane_pred-horse.png,false_negative_for_airplane;false_positive_for_horse
57,cifar10_test_00057,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,57,horse,dog,0.7902746200561523,False,True,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00057_true-horse_pred-dog.png,false_negative_for_horse;false_positive_for_dog
58,cifar10_test_00058,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,58,deer,cat,0.740386962890625,False,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00058_true-deer_pred-cat.png,false_negative_for_deer;false_positive_for_cat
61,cifar10_test_00061,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,61,cat,dog,0.9999991655349731,False,True,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00061_true-cat_pred-dog.png,false_negative_for_cat;false_positive_for_dog
68,cifar10_test_00068,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,68,cat,deer,0.7736110687255859,False,True,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00068_true-cat_pred-deer.png,false_negative_for_cat;false_positive_for_deer
