class,precision,recall_sensitivity,f1_score,support,true_positive,false_positive,false_negative,true_negative
airplane,0.9068384539147671,0.915,0.9109009457441514,1000,915,94,85,8906
automobile,0.9393034825870646,0.944,0.9416458852867831,1000,944,61,56,8939
bird,0.8732251521298174,0.861,0.8670694864048338,1000,861,125,139,8875
cat,0.7813141683778234,0.761,0.7710233029381965,1000,761,213,239,8787
deer,0.8778778778778779,0.877,0.8774387193596799,1000,877,122,123,8878
dog,0.8373983739837398,0.824,0.8306451612903226,1000,824,160,176,8840
frog,0.9032882011605415,0.934,0.9183874139626352,1000,934,100,66,8900
horse,0.9052319842053307,0.917,0.9110779930452062,1000,917,96,83,8904
ship,0.9491869918699187,0.934,0.9415322580645161,1000,934,50,66,8950
truck,0.9150197628458498,0.926,0.9204771371769384,1000,926,86,74,8914
