test_index,image_id,source_path,source_record_index,true_class,vit_scratch_predicted_class,vit_scratch_confidence,vit_scratch_correct,vit_scratch_failure_image,mamba_scratch_predicted_class,mamba_scratch_confidence,mamba_scratch_correct,mamba_scratch_failure_image,vit_pretrained_finetuned_predicted_class,vit_pretrained_finetuned_confidence,vit_pretrained_finetuned_correct,vit_pretrained_finetuned_failure_image,mamba_kd_from_scratch_vit_predicted_class,mamba_kd_from_scratch_vit_confidence,mamba_kd_from_scratch_vit_correct,mamba_kd_from_scratch_vit_failure_image,mamba_kd_from_pretrained_vit_predicted_class,mamba_kd_from_pretrained_vit_confidence,mamba_kd_from_pretrained_vit_correct,mamba_kd_from_pretrained_vit_failure_image,failure_count,failed_models,failed_three_or_more,failed_all_models,scratch_pair_teacher_failed_student_passed,scratch_pair_student_failed_teacher_passed,pretrained_pair_teacher_failed_student_passed,pretrained_pair_student_failed_teacher_passed
0,cifar10_test_00000,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,0,cat,cat,0.9995891451835632,True,,cat,0.9990234375,True,,cat,0.9999992847442627,True,,cat,0.99642014503479,True,,cat,0.9999988079071045,True,,0,,False,False,False,False,False,False
1,cifar10_test_00001,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,1,ship,ship,0.7972554564476013,True,,ship,0.9999996423721313,True,,ship,0.9999990463256836,True,,ship,0.989059567451477,True,,ship,1.0,True,,0,,False,False,False,False,False,False
2,cifar10_test_00002,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,2,ship,airplane,0.6490621566772461,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00002_true-ship_pred-airplane.png,automobile,0.5066149234771729,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00002_true-ship_pred-automobile.png,ship,0.9999916553497314,True,,ship,0.995231568813324,True,,ship,0.9996964931488037,True,,2,vit_scratch;mamba_scratch,False,False,True,False,False,False
3,cifar10_test_00003,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,3,airplane,airplane,0.9983081817626953,True,,airplane,0.9995449185371399,True,,airplane,0.9999996423721313,True,,airplane,0.9998903274536133,True,,airplane,0.9999831914901733,True,,0,,False,False,False,False,False,False
4,cifar10_test_00004,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,4,frog,frog,0.9999924898147583,True,,frog,0.9999996423721313,True,,frog,1.0,True,,frog,0.9996589422225952,True,,frog,0.9999954700469971,True,,0,,False,False,False,False,False,False
5,cifar10_test_00005,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,5,frog,frog,0.9998480081558228,True,,frog,0.9999995231628418,True,,frog,0.9999998807907104,True,,frog,0.9999618530273438,True,,frog,0.9999998807907104,True,,0,,False,False,False,False,False,False
6,cifar10_test_00006,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,6,automobile,dog,0.8882904052734375,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00006_true-automobile_pred-dog.png,automobile,0.796859085559845,True,,automobile,0.999998927116394,True,,automobile,0.9990277290344238,True,,automobile,0.9998772144317627,True,,1,vit_scratch,False,False,True,False,False,False
7,cifar10_test_00007,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,7,frog,frog,0.9995645880699158,True,,frog,0.9930645823478699,True,,frog,0.9999997615814209,True,,frog,0.9956747889518738,True,,frog,1.0,True,,0,,False,False,False,False,False,False
8,cifar10_test_00008,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,8,cat,cat,0.9999774694442749,True,,cat,1.0,True,,cat,0.9999986886978149,True,,cat,0.9999573230743408,True,,cat,0.9999842643737793,True,,0,,False,False,False,False,False,False
9,cifar10_test_00009,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,9,automobile,automobile,0.9966700673103333,True,,truck,0.932224690914154,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00009_true-automobile_pred-truck.png,automobile,0.9999798536300659,True,,automobile,0.9971502423286438,True,,automobile,0.9982115030288696,True,,1,mamba_scratch,False,False,False,False,False,False
