test_index,image_id,source_path,source_record_index,true_class,vit_scratch_predicted_class,vit_scratch_confidence,vit_scratch_correct,vit_scratch_failure_image,mamba_scratch_predicted_class,mamba_scratch_confidence,mamba_scratch_correct,mamba_scratch_failure_image,vit_pretrained_finetuned_predicted_class,vit_pretrained_finetuned_confidence,vit_pretrained_finetuned_correct,vit_pretrained_finetuned_failure_image,mamba_kd_from_scratch_vit_predicted_class,mamba_kd_from_scratch_vit_confidence,mamba_kd_from_scratch_vit_correct,mamba_kd_from_scratch_vit_failure_image,mamba_kd_from_pretrained_vit_predicted_class,mamba_kd_from_pretrained_vit_confidence,mamba_kd_from_pretrained_vit_correct,mamba_kd_from_pretrained_vit_failure_image,failure_count,failed_models,failed_three_or_more,failed_all_models,scratch_pair_teacher_failed_student_passed,scratch_pair_student_failed_teacher_passed,pretrained_pair_teacher_failed_student_passed,pretrained_pair_student_failed_teacher_passed
2,cifar10_test_00002,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,2,ship,airplane,0.6490621566772461,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00002_true-ship_pred-airplane.png,automobile,0.5066149234771729,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00002_true-ship_pred-automobile.png,ship,0.9999916553497314,True,,ship,0.995231568813324,True,,ship,0.9996964931488037,True,,2,vit_scratch;mamba_scratch,False,False,True,False,False,False
6,cifar10_test_00006,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,6,automobile,dog,0.8882904052734375,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00006_true-automobile_pred-dog.png,automobile,0.796859085559845,True,,automobile,0.999998927116394,True,,automobile,0.9990277290344238,True,,automobile,0.9998772144317627,True,,1,vit_scratch,False,False,True,False,False,False
27,cifar10_test_00027,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,27,airplane,frog,0.8292045593261719,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00027_true-airplane_pred-frog.png,airplane,0.7235693335533142,True,,airplane,1.0,True,,airplane,0.6062951683998108,True,,airplane,1.0,True,,1,vit_scratch,False,False,True,False,False,False
33,cifar10_test_00033,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,33,dog,dog,0.9669902920722961,True,,cat,0.5032067894935608,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00033_true-dog_pred-cat.png,dog,0.9999994039535522,True,,dog,0.8127222061157227,True,,bird,0.4993424713611603,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/00033_true-dog_pred-bird.png,2,mamba_scratch;mamba_kd_from_pretrained_vit,False,False,False,False,False,True
35,cifar10_test_00035,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,35,bird,cat,0.5365921854972839,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00035_true-bird_pred-cat.png,automobile,0.6133114695549011,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00035_true-bird_pred-automobile.png,bird,1.0,True,,automobile,0.7273434996604919,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/00035_true-bird_pred-automobile.png,cat,0.7804816961288452,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/00035_true-bird_pred-cat.png,4,vit_scratch;mamba_scratch;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,False,False,False,False,True
36,cifar10_test_00036,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,36,deer,horse,0.9559328556060791,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00036_true-deer_pred-horse.png,deer,0.9937392473220825,True,,deer,0.9999992847442627,True,,horse,0.9308708906173706,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/00036_true-deer_pred-horse.png,horse,0.8876046538352966,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/00036_true-deer_pred-horse.png,3,vit_scratch;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,False,False,False,False,True
46,cifar10_test_00046,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,46,cat,dog,0.9195250272750854,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00046_true-cat_pred-dog.png,cat,0.9918568134307861,True,,cat,0.999981164932251,True,,cat,0.9973512887954712,True,,cat,0.9999946355819702,True,,1,vit_scratch,False,False,True,False,False,False
52,cifar10_test_00052,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,52,airplane,frog,0.6783310174942017,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00052_true-airplane_pred-frog.png,horse,0.9483225345611572,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00052_true-airplane_pred-horse.png,airplane,1.0,True,,dog,0.9307965040206909,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/00052_true-airplane_pred-dog.png,horse,0.4708155393600464,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/00052_true-airplane_pred-horse.png,4,vit_scratch;mamba_scratch;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,False,False,False,False,True
53,cifar10_test_00053,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,53,cat,cat,0.9978677034378052,True,,cat,0.9998672008514404,True,,cat,0.9999953508377075,True,,dog,0.8049301505088806,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/00053_true-cat_pred-dog.png,cat,0.9976256489753723,True,,1,mamba_kd_from_scratch_vit,False,False,False,True,False,False
57,cifar10_test_00057,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,57,horse,cat,0.8625379204750061,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_scratch/failure_images/00057_true-horse_pred-cat.png,dog,0.7902746200561523,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_scratch/failure_images/00057_true-horse_pred-dog.png,horse,0.9999995231628418,True,,dog,0.7726250290870667,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_scratch_vit/failure_images/00057_true-horse_pred-dog.png,dog,0.9998277425765991,False,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/mamba_kd_from_pretrained_vit/failure_images/00057_true-horse_pred-dog.png,4,vit_scratch;mamba_scratch;mamba_kd_from_scratch_vit;mamba_kd_from_pretrained_vit,True,False,False,False,False,True
