true_class,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.989,0.001,0.003,0.001,0.0,0.0,0.0,0.0,0.006,0.0
automobile,0.0,0.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009
bird,0.003,0.0,0.986,0.003,0.003,0.0,0.002,0.002,0.001,0.0
cat,0.001,0.001,0.0,0.967,0.002,0.024,0.003,0.001,0.001,0.0
deer,0.0,0.0,0.003,0.006,0.985,0.001,0.0,0.005,0.0,0.0
dog,0.0,0.0,0.0,0.025,0.007,0.965,0.001,0.002,0.0,0.0
frog,0.001,0.0,0.003,0.002,0.0,0.0,0.994,0.0,0.0,0.0
horse,0.0,0.0,0.0,0.001,0.003,0.006,0.0,0.989,0.0,0.001
ship,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996,0.001
truck,0.0,0.022,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.975
