test_index,image_id,source_path,source_record_index,true_class,predicted_class,confidence,top1_correct,top5_correct,saved_image,error_type
37,cifar10_test_00037,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,37,automobile,truck,0.9971389770507812,False,True,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_pretrained_finetuned/failure_images/00037_true-automobile_pred-truck.png,false_negative_for_automobile;false_positive_for_truck
59,cifar10_test_00059,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,59,frog,cat,0.9918588995933533,False,True,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_pretrained_finetuned/failure_images/00059_true-frog_pred-cat.png,false_negative_for_frog;false_positive_for_cat
61,cifar10_test_00061,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,61,cat,dog,0.9952287673950195,False,True,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_pretrained_finetuned/failure_images/00061_true-cat_pred-dog.png,false_negative_for_cat;false_positive_for_dog
125,cifar10_test_00125,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,125,airplane,bird,0.9861831665039062,False,True,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_pretrained_finetuned/failure_images/00125_true-airplane_pred-bird.png,false_negative_for_airplane;false_positive_for_bird
226,cifar10_test_00226,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,226,frog,airplane,0.9946198463439941,False,True,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_pretrained_finetuned/failure_images/00226_true-frog_pred-airplane.png,false_negative_for_frog;false_positive_for_airplane
275,cifar10_test_00275,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,275,dog,cat,0.9998375177383423,False,True,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_pretrained_finetuned/failure_images/00275_true-dog_pred-cat.png,false_negative_for_dog;false_positive_for_cat
312,cifar10_test_00312,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,312,ship,airplane,0.9941033720970154,False,True,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_pretrained_finetuned/failure_images/00312_true-ship_pred-airplane.png,false_negative_for_ship;false_positive_for_airplane
378,cifar10_test_00378,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,378,airplane,ship,0.9999990463256836,False,True,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_pretrained_finetuned/failure_images/00378_true-airplane_pred-ship.png,false_negative_for_airplane;false_positive_for_ship
394,cifar10_test_00394,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,394,truck,automobile,0.9804414510726929,False,True,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_pretrained_finetuned/failure_images/00394_true-truck_pred-automobile.png,false_negative_for_truck;false_positive_for_automobile
426,cifar10_test_00426,/home/tariq/Desktop/Awais-Tariq/base-KD/data/cifar-10-batches-py/test_batch,426,cat,dog,0.9999394416809082,False,True,/home/tariq/Desktop/Awais-Tariq/base-KD/reports/cifar10_full_audit/vit_pretrained_finetuned/failure_images/00426_true-cat_pred-dog.png,false_negative_for_cat;false_positive_for_dog
