class,precision,recall_sensitivity,f1_score,support,true_positive,false_positive,false_negative,true_negative
airplane,0.9919759277833501,0.989,0.9904857285928893,1000,989,8,11,8992
automobile,0.9763546798029556,0.991,0.9836228287841191,1000,991,24,9,8976
bird,0.9909547738693467,0.986,0.9884711779448622,1000,986,9,14,8991
cat,0.9621890547263682,0.967,0.9645885286783042,1000,967,38,33,8962
deer,0.985,0.985,0.985,1000,985,15,15,8985
dog,0.9688755020080321,0.965,0.966933867735471,1000,965,31,35,8969
frog,0.993006993006993,0.994,0.993503248375812,1000,994,7,6,8993
horse,0.98998998998999,0.989,0.9894947473736868,1000,989,10,11,8990
ship,0.9900596421471173,0.996,0.9930209371884346,1000,996,10,4,8990
truck,0.9888438133874239,0.975,0.9818731117824774,1000,975,11,25,8989
