true_class,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.8,0.023,0.038,0.016,0.005,0.003,0.016,0.007,0.053,0.039
automobile,0.018,0.9,0.0,0.006,0.001,0.001,0.003,0.002,0.01,0.059
bird,0.045,0.004,0.736,0.046,0.055,0.025,0.051,0.021,0.009,0.008
cat,0.009,0.007,0.045,0.664,0.042,0.114,0.059,0.032,0.012,0.016
deer,0.009,0.001,0.063,0.036,0.759,0.022,0.049,0.056,0.003,0.002
dog,0.006,0.005,0.03,0.132,0.033,0.734,0.018,0.035,0.002,0.005
frog,0.007,0.005,0.021,0.033,0.019,0.014,0.894,0.005,0.001,0.001
horse,0.016,0.0,0.02,0.031,0.041,0.037,0.007,0.836,0.007,0.005
ship,0.051,0.024,0.006,0.01,0.002,0.003,0.003,0.005,0.872,0.024
truck,0.021,0.049,0.001,0.01,0.004,0.002,0.004,0.009,0.018,0.882
