class,precision,recall_sensitivity,f1_score,support,true_positive,false_positive,false_negative,true_negative
airplane,0.814664000000000,0.8,0.8072650000000000,1000,800,182,200,8818
automobile,0.8840860000000000,0.9,0.8919720000000000,1000,900,118,100,8882
bird,0.7666670000000000,0.736,0.7510200000000000,1000,736,224,264,8776
cat,0.6747970000000000,0.664,0.6693550000000000,1000,664,320,336,8680
deer,0.7898020000000000,0.759,0.7740950000000000,1000,759,202,241,8798
dog,0.768586000000000,0.734,0.7508950000000000,1000,734,221,266,8779
frog,0.8097830000000000,0.894,0.8498100000000000,1000,894,210,106,8790
horse,0.8293650000000000,0.836,0.8326690000000000,1000,836,172,164,8828
ship,0.8834850000000000,0.872,0.8777050000000000,1000,872,115,128,8885
truck,0.8472620000000000,0.882,0.8642820000000000,1000,882,159,118,8841
